Nome,Currículo Lattes,Nome em Citações Bibliográficas
Paulo Gustavo Barboni Dantas Nascimento,http://lattes.cnpq.br/3560646486199746,"NASCIMENTO, P. G. B. D.;Nascimento, Paulo G. B. D.;Nascimento, Paulo Gustavo Barboni Dantas;NASCIMENTO, P;NASCIMENTO, PAULO GUSTAVO B.D.;Paulo Gustavo Bardoni Dantas Nascimento;NASCIMENTO, PAULO GUSTAVO BARDONI DANTAS;Paulo Gustavo, Barboni Dantas;BARBONI DANTAS, PAULO GUSTAVO"
Paulo Roberto Barbosa Lustosa,http://lattes.cnpq.br/0206424732066059,"LUSTOSA, P. R. B.;LUSTOSA, Paulo R. B.;LUSTOSA, P R B;LUSTOSA, PRB;LUSTOSA, Paulo Roberto B.;LUSTOSA, Paulo Roberto Barbosa"
Plinio Ricardo Ganime Alves,http://lattes.cnpq.br/8921775057274048,"ALVES, P. R. G.;Ricardo Ganime Alves, Plínio;RICARDO GANIME ALVES, PLINIO;GANIME ALVES, P. R."
Regina Coelly Fernandes Saraiva,http://lattes.cnpq.br/0071166665596505,"SARAIVA, R. C. F."
Remi Castioni,http://lattes.cnpq.br/9042288666288034,"CASTIONI, R.;CASTIONI, REMI"
Ricardo Flávio de Araújo Bezerra,http://lattes.cnpq.br/3519082620015385,"BEZERRA, Ricardo Flávio de Araújo;Bezerra, Ricardo Flávio de Araújo"
Ricardo Gauche,http://lattes.cnpq.br/1360277789257857,"GAUCHE, R.;GAUCHE, RICARDO"
Ricardo Matos Chaim,http://lattes.cnpq.br/0716559775355685,"CHAIM, Ricardo M;CHAIM, R. M.;CHAIM, Ricardo Matos;Ricardo Matos Chaim"
Ricardo Titze de Almeida,http://lattes.cnpq.br/5545830416236785,"TITZE-DE-ALMEIDA, R.;Titze-de-Almeida, R.;Almeida, R.T.;Titze-de-Almeida, Ricardo;TITZE'DE'ALMEIDA, RICARDO;TITZE DE ALMEIDA, RICARDO"
Rita de Cássia Coelho de Almeida Akutsu,http://lattes.cnpq.br/7811575495155414,"AKUTSU, Rita de Cássia;AKUTSU, R.;AKUTSU, RITA;RITA DE CÁSSIA C A AKUTSU;RITA DE CÁSSIA C. A. AKUTSU;AKUTSU, RITA DE CÁSSIA C. A.;RITA DE CASSIA COELHO ALMEIDA AKUTSU;Rita de Cássia Coelho Almeida Akutsu;Akutsu, Rita de Cássia Coelho Almeida;Rita de Cássia Akutsu;Rita de C Akutsu;AKUTSU;Rita de C. Akutsu;AKUTSU, Rita de C.;AKUTSU, RITA DE CÁSSIA COELHO;AKUTSU, RITA C. C. A.;AKUTSU, R.C.;Akutsu, R.C.;Rita de Cássia Coelho de Almeida Akutsu;Akutsu, Rita de Cássia;AKUTSU, Rita;Akutsu, Rita;Rita Cássia Coelho Akutsu;Rita Akutsu;RITA AKUTSU;Akutsu, R;Akutsu,R;Akutsu,R.C.;Akutsu, R. C.;Akutsu,R.C.C.A.;Akutsu, R.C.C.A."
Rita de Cássia Marqueti Durigan,http://lattes.cnpq.br/0391056751283338,"MARQUETI, R. C.;Rita de Cassia Marqueti;MARQUETI, RITA DE CASSIA;de Cássia Marqueti Rita;DE CÁSSIA MARQUETI, R."
Rodrigo Albuquerque Pereira,http://lattes.cnpq.br/1989643237536642,"Albuquerque, R.;ALBUQUERQUE, RODRIGO"
Rudi Henri van Els,http://lattes.cnpq.br/5225196180314173,"ELS, Rudi H. van;Van ELS, Rudi Henri;ELS, R. H. van;Van ELS, R.H.;ELS, Rudi Henri van"
Yris Maria Fonseca Bazzo,http://lattes.cnpq.br/8189302474813202,"FONSECA, Y. M.;Fonseca, Yris Maria;Fonseca, Yris M.;Fonseca-Bazzo, Yris M.;Fonseca-Bazzo, Y.M.;Fonseca-Bazzo, Yris Maria;Fonseca-Bazzo, Yris;Yris M. Fonseca - Bazzo"
Alexandre Bernardino Costa,http://lattes.cnpq.br/9725195346105443,"COSTA, A. B.;COSTA, ALEXANDRE;COSTA, ALEXANDRE BERNARDINO"
Ana Elisabete de Almeida Medeiros,http://lattes.cnpq.br/1766107518538219,"MEDEIROS, Ana Elisabete de Almeida"
Ana Helena Rossi,http://lattes.cnpq.br/4375358709380244,"ROSSI, A. H.;ROSSI, A.;ROSSI, ANA HELENA"
André Gustavo de Melo Araújo,http://lattes.cnpq.br/3706282491068280,"ARAÚJO, André de Melo;ARAÚJO, ANDRÉ DE MELO;ARAÚJO, ANDRÉ"
Andrei Domingues Cechin,http://lattes.cnpq.br/1311262425931714,"CECHIN, A. D.;Cechin, Andrei;CECHIN, A."
Angela Mágda Rodrigues Virgolim,http://lattes.cnpq.br/6738239759772816,"VIRGOLIM, A. M. R."
Angelica Alves da Cunha Marques,http://lattes.cnpq.br/2413567691663920,"MARQUES, Angelica Alves da Cunha;MARQUES, ANGELICA ALVES DA CUNHA"
Arthur Alfaix Assis,http://lattes.cnpq.br/8429201333920233,"Assis, Arthur Alfaix;ASSIS, ARTHUR ALFAIX"
Bruno Vinicius Ramos Fernandes,http://lattes.cnpq.br/7857541952954212,"FERNANDES, BRUNO V. R."
